"MovieTitle","MovieID","MovieURL","ReleaseYear","MovieRating","MovieNumUserRatings"
"A Bigger Splash","tt2056771","http://www.imdb.com/title/tt2056771/",2015,6.2,220
"Midnight Special","tt2649554","http://www.imdb.com/title/tt2649554/",2015,0,NA
"The Little Prince","tt1754656","http://www.imdb.com/title/tt1754656/",2015,7.8,3517
"Regression","tt3319920","http://www.imdb.com/title/tt3319920/",2015,5.9,2916
"Jane Got a Gun","tt2140037","http://www.imdb.com/title/tt2140037/",2015,0,NA
"The Hateful Eight","tt3460252","http://www.imdb.com/title/tt3460252/",2015,0,NA
"The Revenant","tt1663202","http://www.imdb.com/title/tt1663202/",2015,0,NA
"Joy","tt2446980","http://www.imdb.com/title/tt2446980/",2015,0,NA
"Point Break","tt2058673","http://www.imdb.com/title/tt2058673/",2015,0,NA
"Sisters","tt1850457","http://www.imdb.com/title/tt1850457/",2015,0,NA
"Alvin and the Chipmunks: The Road Chip","tt2974918","http://www.imdb.com/title/tt2974918/",2015,0,NA
"Star Wars: Episode VII - The Force Awakens","tt2488496","http://www.imdb.com/title/tt2488496/",2015,0,NA
"In the Heart of the Sea","tt1390411","http://www.imdb.com/title/tt1390411/",2015,0,NA
"Krampus","tt3850590","http://www.imdb.com/title/tt3850590/",2015,0,NA
"Every Thing Will Be Fine","tt1707380","http://www.imdb.com/title/tt1707380/",2015,5.5,1924
"Victor Frankenstein","tt1976009","http://www.imdb.com/title/tt1976009/",2015,0,NA
"The Good Dinosaur","tt1979388","http://www.imdb.com/title/tt1979388/",2015,7.8,248
"The Hunger Games: Mockingjay - Part 2","tt1951266","http://www.imdb.com/title/tt1951266/",2015,7.4,4428
"The Night Before","tt3530002","http://www.imdb.com/title/tt3530002/",2015,0,NA
"Queen of the Desert","tt1837636","http://www.imdb.com/title/tt1837636/",2015,6.1,637
"Spectre","tt2379713","http://www.imdb.com/title/tt2379713/",2015,7.2,96631
"By the Sea","tt3707106","http://www.imdb.com/title/tt3707106/",2015,5.6,617
"Love the Coopers","tt2279339","http://www.imdb.com/title/tt2279339/",2015,5.6,676
"Scouts Guide to the Zombie Apocalypse","tt1727776","http://www.imdb.com/title/tt1727776/",2015,6.5,2605
"Freaks of Nature","tt1817771","http://www.imdb.com/title/tt1817771/",2015,5.6,123
"Paranormal Activity: The Ghost Dimension","tt2473510","http://www.imdb.com/title/tt2473510/",2015,4.5,5002
"Rock the Kasbah","tt3164256","http://www.imdb.com/title/tt3164256/",2015,5.3,644
