Webpage,Title
tt3544082,45 Years
tt2113681,The 100-Year-Old Man Who climbed out the window and disappeared
tt2870648,Amy
tt2401878,Amonalisa
tt4419794,Ave Maria
tt3829254,Bear Story
tt1596363,The Big Short
tt4430002,Body Team 12
tt3183630,Boy and the World
tt3682448,Bridge of Spies
tt2381111,Brooklyn
tt2402927,Carol
tt4126304,Cartel Land
tt4084844,"Chau, Beyond the Lines"
tt1661199,Cinderella
tt4815426,Claude Lanzmann: Spectres of the Shoah
tt3076658,Creed
tt0810819,The Danish Girl
tt4122886,Day One
tt4285496,Embrace of the Serpent
tt4324518,Everything will be okay (alles wird gut)
tt0470752,Ex Machina
tt2322441,Fifty Shades of Grey
tt5144072,A Girl in the River: The price of forgiveness
tt3460252,The Hateful Eight
tt4185572,The Hunting Ground
tt2096673,Inside Out
tt2446980,Joy
tt4172096,Last Day of Freedom
tt3521134,The Look of Silence
tt1392190,Mad Max: Fury Road
tt3659388,The Martian
tt3966404,Mustang
tt4955294,Prologue
tt1618448,Racing Extinction
tt1663202,The Revenant
tt3170832,Room
tt4661600,Sanjay's Super Team
tt2872750,Shaun the Sheep Movie
tt4273570,Shok
tt3397884,Sicario
tt3808342,Son of Saul
tt2379713,Spectre
tt1895587,Spotlight
tt2488496,Star Wars: The Force Awakens
tt2080374,Steve Jobs
tt1398426,Straight Outta Compton
tt4817576,Stutterer
tt3170902,Theeb
tt3203606,Trumbo
tt3830162,A War
tt3965660,We Can't live without Cosmos
tt4284010,"What happened, Mis Simone?"
tt3398268,When Marnie Was There
tt4908644,Winter on Fire: Ukraine's Fight for Freedom
tt4171032,World of Tomorrow
tt3312830,Youth
