"MovieTitle","MovieID","MovieURL","ReleaseYear","IMDBRating","NumberOfUsersRated","DurationMins","ReleaseDate","Genre1","Genre2","Genre3","NumIMDBUserReviews","NumIMDBCriticReviews","DirectorName","DirectorID","DirectorURL","Star1Name","Star1ID","Star1URL","Star2Name","Star2ID","Star2URL","Star3Name","Star3ID","Star3URL","BoxOfficeBudget","BoxOfficeBudgetCurr","BoxOfficeOpeningWeekend","BoxOfficeOpeningWeekendCurr","BoxOfficeGross","BoxOfficeGrossCurr","NumberOfOscars"
"A Bigger Splash","tt2056771","http://www.imdb.com/title/tt2056771/","2015","6.2","230","120"," 13 May 2016
(USA)
","Crime","Drama","Mystery","230","51","Luca Guadagnino",NA,NA,"Ralph Fiennes","nm0000146","/name/nm0000146/","Dakota Johnson","nm0424848","/name/nm0424848/","Tilda Swinton","nm0842770","/name/nm0842770/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Midnight Special","tt2649554","http://www.imdb.com/title/tt2649554/","2015",NA,NA,NA," 18 March 2016
(USA)
","Drama","Sci-Fi",NA,NA,NA,"Jeff Nichols",NA,NA,"Joel Edgerton","nm0249291","/name/nm0249291/","Kirsten Dunst","nm0000379","/name/nm0000379/","Adam Driver","nm3485845","/name/nm3485845/","Technical Specs",NA,"
    Color:
        Color
    ",NA,"
    Aspect Ratio: 2.35 : 1
    ","NA","0"
"The Little Prince","tt1754656","http://www.imdb.com/title/tt1754656/","2015","7.8","3828","108"," 18 March 2016
(USA)
","Animation","Fantasy",NA,"3828","48","Mark Osborne",NA,NA,"Rachel McAdams","nm1046097","/name/nm1046097/","Mackenzie Foy","nm3237775","/name/nm3237775/","Paul Rudd","nm0748620","/name/nm0748620/","81200000","USD","
    See more »
  ",NA,"","NA","0"
"Regression","tt3319920","http://www.imdb.com/title/tt3319920/","2015","5.9","2959","106"," 5 February 2016
(USA)
","Horror","Mystery","Thriller","2959","70","Alejandro Amenábar",NA,NA,"Emma Watson","nm0914612","/name/nm0914612/","Ethan Hawke","nm0000160","/name/nm0000160/","Devon Bostick","nm1256602","/name/nm1256602/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Jane Got a Gun","tt2140037","http://www.imdb.com/title/tt2140037/","2015",NA,"2","98"," February 2016
(USA)
","Action","Drama","Western","2 critic",NA,"Gavin O'Connor",NA,NA,"Natalie Portman","nm0000204","/name/nm0000204/","Ewan McGregor","nm0000191","/name/nm0000191/","Rodrigo Santoro","nm0763928","/name/nm0763928/","",NA,"Company Credits",NA,"
    Production Co:
        
1821 Pictures,        
Boies / Schiller Film Group,        
Handsomecharlie Films      
        See more »
      
    ","NA","0"
"The Hateful Eight","tt3460252","http://www.imdb.com/title/tt3460252/","2015",NA,NA,"182"," 8 January 2016
(USA)
","Western",NA,NA,NA,NA,"Quentin Tarantino",NA,NA,"Channing Tatum","nm1475594","/name/nm1475594/","Jennifer Jason Leigh","nm0000492","/name/nm0000492/","Walton Goggins","nm0324658","/name/nm0324658/","44000000","USD","
    See more »
  ",NA,"","NA","0"
"The Revenant","tt1663202","http://www.imdb.com/title/tt1663202/","2015",NA,NA,"151"," 8 January 2016
(USA)
","Adventure","Drama","Western",NA,NA,"Alejandro González Iñárritu",NA,NA,"Tom Hardy","nm0362766","/name/nm0362766/","Leonardo DiCaprio","nm0000138","/name/nm0000138/","Domhnall Gleeson","nm1727304","/name/nm1727304/","135000000","USD","
    See more »
  ",NA,"","NA","0"
"Joy","tt2446980","http://www.imdb.com/title/tt2446980/","2015",NA,NA,NA," 25 December 2015
(USA)
","Biography","Comedy","Drama",NA,NA,"David O. Russell",NA,NA,"Jennifer Lawrence","nm2225369","/name/nm2225369/","Bradley Cooper","nm0177896","/name/nm0177896/","Robert De Niro","nm0000134","/name/nm0000134/","
    Production Co:
        
Annapurna Pictures,        
Davis Entertainment      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Point Break","tt2058673","http://www.imdb.com/title/tt2058673/","2015",NA,NA,"113"," 25 December 2015
(USA)
","Action","Crime","Thriller",NA,NA,"Ericson Core",NA,NA,"Teresa Palmer","nm1954240","/name/nm1954240/","Luke Bracey","nm3478396","/name/nm3478396/","Tobias Santelmann","nm4083737","/name/nm4083737/","100000000","USD","
    See more »
  ",NA,"","NA","0"
"Sisters","tt1850457","http://www.imdb.com/title/tt1850457/","2015",NA,NA,"118"," 18 December 2015
(USA)
","Comedy",NA,NA,NA,NA,"Jason Moore",NA,NA,"Amy Poehler","nm0688132","/name/nm0688132/","Heather Matarazzo","nm0000525","/name/nm0000525/","John Cena","nm1078479","/name/nm1078479/","
    Production Co:
        
Little Stranger      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
